         t         g       g_N       g_I      g_hH      g_hL
    0.0000    4.4648    4.2036    4.2036    0.2612    0.2612
    1.0000    4.4890    4.2278    5.5169    0.2612    0.2612
    2.0000    4.5118    4.2505    5.5167    0.2612    0.2612
    3.0000    4.5341    4.2728    5.5168    0.2612    0.2612
    4.0000    4.5578    4.2966    5.5169    0.2612    0.2612
    5.0000    4.5866    4.3254    5.5161    0.2612    0.2612
    6.0000    4.6284    4.3672    5.5146    0.2612    0.2612
    7.0000    4.6847    4.4235    5.5126    0.2612    0.2612
    8.0000    4.7595    4.4982    5.5096    0.2612    0.2612
    9.0000    4.8551    4.5938    5.5009    0.2612    0.2612
   10.0000    4.9702    4.7089    5.4921    0.2612    0.2612
   11.0000    5.0958    4.8345    5.4719    0.2612    0.2612
   12.0000    5.2261    4.9648    5.4383    0.2612    0.2612
   13.0000    5.3517    5.0904    5.3820    0.2612    0.2612
   14.0000    5.4636    5.2023    5.2847    0.2612    0.2612
   15.0000    5.5562    5.2949    5.1927    0.2612    0.2612
   16.0000    5.6281    5.3669    5.1396    0.2612    0.2612
   17.0000    5.6821    5.4209    5.2011    0.2612    0.2612
   18.0000    5.7188    5.4576    5.2512    0.2612    0.2612
   19.0000    5.7430    5.4818    5.3068    0.2612    0.2612
   20.0000    5.7583    5.4971    5.3674    0.2612    0.2612
   21.0000    5.7675    5.5063    5.4158    0.2612    0.2612
   22.0000    5.7728    5.5116    5.4555    0.2612    0.2612
   23.0000    5.7758    5.5146    5.4788    0.2612    0.2612
   24.0000    5.7774    5.5161    5.4950    0.2612    0.2612
   25.0000    5.7782    5.5169    5.5043    0.2612    0.2612
   26.0000    5.7786    5.5173    5.5082    0.2612    0.2612
   27.0000    5.7787    5.5175    5.5088    0.2612    0.2612
   28.0000    5.7788    5.5176    5.5107    0.2612    0.2612
   29.0000    5.7789    5.5176    5.5142    0.2612    0.2612
   30.0000    5.7789    5.5176    5.5162    0.2612    0.2612
   31.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   32.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   33.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   34.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   35.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   36.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   37.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   38.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   39.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   40.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   41.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   42.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   43.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   44.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   45.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   46.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   47.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   48.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   49.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   50.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   51.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   52.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   53.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   54.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   55.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   56.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   57.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   58.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   59.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   60.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   61.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   62.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   63.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   64.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   65.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   66.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   67.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   68.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   69.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   70.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   71.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   72.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   73.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   74.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   75.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   76.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   77.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   78.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   79.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   80.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   81.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   82.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   83.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   84.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   85.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   86.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   87.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   88.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   89.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   90.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   91.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   92.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   93.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   94.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   95.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   96.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   97.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   98.0000    5.7789    5.5177    5.5177    0.2612    0.2612
   99.0000    5.7789    5.5177    5.5177    0.2612    0.2612
  100.0000    5.7789    5.5177    5.5177    0.2612    0.2612
