         t       p_N       p_I     eps_N     eps_I
    0.0000    0.1526    2.2220    0.0019    0.0280
    1.0000    0.1531    2.0908    0.0019    0.0454
    2.0000    0.1528    1.9730    0.0020    0.0409
    3.0000    0.1534    1.8674    0.0020    0.0369
    4.0000    0.1527    1.7766    0.0020    0.0335
    5.0000    0.1526    1.6997    0.0020    0.0307
    6.0000    0.1533    1.7185    0.0021    0.0283
    7.0000    0.1548    1.7300    0.0021    0.0291
    8.0000    0.1565    1.7328    0.0022    0.0298
    9.0000    0.1595    1.7713    0.0023    0.0313
   10.0000    0.1630    1.7628    0.0024    0.0307
   11.0000    0.1677    1.7626    0.0025    0.0302
   12.0000    0.1727    1.7689    0.0026    0.0298
   13.0000    0.1776    1.7603    0.0028    0.0294
   14.0000    0.1817    1.7337    0.0029    0.0285
   15.0000    0.1857    1.6951    0.0030    0.0276
   16.0000    0.1883    1.6568    0.0031    0.0269
   17.0000    0.1901    1.6701    0.0032    0.0272
   18.0000    0.1917    1.6702    0.0032    0.0274
   19.0000    0.1918    1.6838    0.0033    0.0278
   20.0000    0.1928    1.6977    0.0033    0.0283
   21.0000    0.1937    1.7102    0.0033    0.0288
   22.0000    0.1933    1.7210    0.0033    0.0291
   23.0000    0.1934    1.7282    0.0033    0.0294
   24.0000    0.1945    1.7319    0.0033    0.0295
   25.0000    0.1934    1.7356    0.0033    0.0296
   26.0000    0.1936    1.7370    0.0033    0.0297
   27.0000    0.1937    1.7378    0.0033    0.0297
   28.0000    0.1944    1.7375    0.0033    0.0297
   29.0000    0.1938    1.7383    0.0033    0.0297
   30.0000    0.1934    1.7388    0.0033    0.0297
   31.0000    0.1935    1.7387    0.0033    0.0297
   32.0000    0.1936    1.7387    0.0033    0.0297
   33.0000    0.1936    1.7387    0.0033    0.0297
   34.0000    0.1936    1.7387    0.0033    0.0297
   35.0000    0.1936    1.7387    0.0033    0.0297
   36.0000    0.1936    1.7387    0.0033    0.0297
   37.0000    0.1936    1.7387    0.0033    0.0297
   38.0000    0.1936    1.7387    0.0033    0.0297
   39.0000    0.1936    1.7387    0.0033    0.0297
   40.0000    0.1936    1.7387    0.0033    0.0297
   41.0000    0.1936    1.7387    0.0033    0.0297
   42.0000    0.1936    1.7387    0.0033    0.0297
   43.0000    0.1936    1.7387    0.0033    0.0297
   44.0000    0.1936    1.7387    0.0033    0.0297
   45.0000    0.1936    1.7387    0.0033    0.0297
   46.0000    0.1936    1.7387    0.0033    0.0297
   47.0000    0.1936    1.7387    0.0033    0.0297
   48.0000    0.1936    1.7387    0.0033    0.0297
   49.0000    0.1936    1.7387    0.0033    0.0297
   50.0000    0.1936    1.7387    0.0033    0.0297
   51.0000    0.1936    1.7387    0.0033    0.0297
   52.0000    0.1936    1.7387    0.0033    0.0297
   53.0000    0.1936    1.7387    0.0033    0.0297
   54.0000    0.1936    1.7387    0.0033    0.0297
   55.0000    0.1936    1.7387    0.0033    0.0297
   56.0000    0.1936    1.7387    0.0033    0.0297
   57.0000    0.1936    1.7387    0.0033    0.0297
   58.0000    0.1936    1.7387    0.0033    0.0297
   59.0000    0.1936    1.7387    0.0033    0.0297
   60.0000    0.1936    1.7387    0.0033    0.0297
   61.0000    0.1936    1.7387    0.0033    0.0297
   62.0000    0.1936    1.7387    0.0033    0.0297
   63.0000    0.1936    1.7387    0.0033    0.0297
   64.0000    0.1936    1.7387    0.0033    0.0297
   65.0000    0.1936    1.7387    0.0033    0.0297
   66.0000    0.1936    1.7387    0.0033    0.0297
   67.0000    0.1936    1.7387    0.0033    0.0297
   68.0000    0.1936    1.7387    0.0033    0.0297
   69.0000    0.1936    1.7387    0.0033    0.0297
   70.0000    0.1936    1.7387    0.0033    0.0297
   71.0000    0.1936    1.7387    0.0033    0.0297
   72.0000    0.1936    1.7387    0.0033    0.0297
   73.0000    0.1936    1.7387    0.0033    0.0297
   74.0000    0.1936    1.7387    0.0033    0.0297
   75.0000    0.1936    1.7387    0.0033    0.0297
   76.0000    0.1936    1.7387    0.0033    0.0297
   77.0000    0.1936    1.7387    0.0033    0.0297
   78.0000    0.1936    1.7387    0.0033    0.0297
   79.0000    0.1936    1.7387    0.0033    0.0297
   80.0000    0.1936    1.7387    0.0033    0.0297
   81.0000    0.1936    1.7387    0.0033    0.0297
   82.0000    0.1936    1.7387    0.0033    0.0297
   83.0000    0.1936    1.7387    0.0033    0.0297
   84.0000    0.1936    1.7387    0.0033    0.0297
   85.0000    0.1936    1.7387    0.0033    0.0297
   86.0000    0.1936    1.7387    0.0033    0.0297
   87.0000    0.1936    1.7387    0.0033    0.0297
   88.0000    0.1936    1.7387    0.0033    0.0297
   89.0000    0.1936    1.7387    0.0033    0.0297
   90.0000    0.1936    1.7387    0.0033    0.0297
   91.0000    0.1936    1.7387    0.0033    0.0297
   92.0000    0.1936    1.7387    0.0033    0.0297
   93.0000    0.1936    1.7387    0.0033    0.0297
   94.0000    0.1936    1.7387    0.0033    0.0297
   95.0000    0.1936    1.7387    0.0033    0.0297
   96.0000    0.1936    1.7387    0.0033    0.0297
   97.0000    0.1936    1.7387    0.0033    0.0297
   98.0000    0.1936    1.7387    0.0033    0.0297
   99.0000    0.1936    1.7387    0.0033    0.0297
  100.0000    0.1936    1.7387    0.0033    0.0297
