         t         N         I         S      h_HL       h_H       h_L       Eta   Gamma_H   Gamma_L
    0.0000    1.0000    0.6818    0.9068   -0.8098   -0.8098    0.0000    0.6495    0.0622    0.0963
    0.5000    1.0095    0.6894    0.9086   -0.8098   -0.8085    0.0013    0.6576    0.0610    0.0940
    1.0000    1.0188    0.6979    0.9106   -0.8098   -0.8072    0.0026    0.6667    0.0596    0.0913
    1.5000    1.0282    0.7078    0.9130   -0.8098   -0.8059    0.0039    0.6774    0.0579    0.0882
    2.0000    1.0378    0.7193    0.9158   -0.8098   -0.8046    0.0052    0.6899    0.0560    0.0846
    2.5000    1.0477    0.7319    0.9190   -0.8098   -0.8033    0.0065    0.7035    0.0538    0.0807
    3.0000    1.0581    0.7443    0.9221   -0.8098   -0.8020    0.0078    0.7169    0.0517    0.0768
    3.5000    1.0690    0.7553    0.9249   -0.8098   -0.8007    0.0091    0.7289    0.0497    0.0733
    4.0000    1.0802    0.7641    0.9272   -0.8098   -0.7994    0.0104    0.7385    0.0481    0.0705
    4.5000    1.0918    0.7704    0.9289   -0.8098   -0.7981    0.0118    0.7454    0.0470    0.0685
    5.0000    1.1037    0.7746    0.9300   -0.8098   -0.7968    0.0131    0.7499    0.0462    0.0672
    5.5000    1.1157    0.7770    0.9307   -0.8098   -0.7955    0.0144    0.7526    0.0458    0.0665
    6.0000    1.1278    0.7784    0.9310   -0.8098   -0.7942    0.0157    0.7540    0.0455    0.0660
    6.5000    1.1399    0.7790    0.9312   -0.8098   -0.7929    0.0170    0.7547    0.0454    0.0658
    7.0000    1.1521    0.7793    0.9313   -0.8098   -0.7916    0.0183    0.7551    0.0453    0.0657
    7.5000    1.1642    0.7795    0.9313   -0.8098   -0.7903    0.0196    0.7552    0.0453    0.0657
    8.0000    1.1764    0.7795    0.9313   -0.8098   -0.7889    0.0209    0.7553    0.0453    0.0657
    8.5000    1.1886    0.7796    0.9313   -0.8098   -0.7876    0.0222    0.7553    0.0453    0.0657
    9.0000    1.2008    0.7796    0.9313   -0.8098   -0.7863    0.0235    0.7553    0.0453    0.0657
    9.5000    1.2130    0.7796    0.9313   -0.8098   -0.7850    0.0248    0.7553    0.0453    0.0657
   10.0000    1.2251    0.7796    0.9313   -0.8098   -0.7837    0.0261    0.7554    0.0453    0.0657
   10.5000    1.2373    0.7796    0.9313   -0.8098   -0.7824    0.0274    0.7554    0.0453    0.0657
   11.0000    1.2495    0.7796    0.9313   -0.8098   -0.7811    0.0287    0.7554    0.0453    0.0657
   11.5000    1.2617    0.7796    0.9313   -0.8098   -0.7798    0.0300    0.7554    0.0453    0.0657
   12.0000    1.2738    0.7796    0.9313   -0.8098   -0.7785    0.0313    0.7554    0.0453    0.0657
   12.5000    1.2860    0.7796    0.9313   -0.8098   -0.7772    0.0327    0.7554    0.0453    0.0657
   13.0000    1.2982    0.7796    0.9313   -0.8098   -0.7759    0.0340    0.7554    0.0453    0.0657
   13.5000    1.3104    0.7796    0.9313   -0.8098   -0.7746    0.0353    0.7554    0.0453    0.0657
   14.0000    1.3226    0.7796    0.9313   -0.8098   -0.7733    0.0366    0.7554    0.0453    0.0657
   14.5000    1.3347    0.7796    0.9313   -0.8098   -0.7720    0.0379    0.7554    0.0453    0.0657
   15.0000    1.3469    0.7796    0.9313   -0.8098   -0.7707    0.0392    0.7554    0.0453    0.0657
   15.5000    1.3591    0.7796    0.9313   -0.8098   -0.7694    0.0405    0.7554    0.0453    0.0657
   16.0000    1.3713    0.7796    0.9313   -0.8098   -0.7680    0.0418    0.7554    0.0453    0.0657
   16.5000    1.3835    0.7796    0.9313   -0.8098   -0.7667    0.0431    0.7554    0.0453    0.0657
   17.0000    1.3956    0.7796    0.9313   -0.8098   -0.7654    0.0444    0.7554    0.0453    0.0657
   17.5000    1.4078    0.7796    0.9313   -0.8098   -0.7641    0.0457    0.7554    0.0453    0.0657
   18.0000    1.4200    0.7796    0.9313   -0.8098   -0.7628    0.0470    0.7554    0.0453    0.0657
   18.5000    1.4322    0.7796    0.9313   -0.8098   -0.7615    0.0483    0.7554    0.0453    0.0657
   19.0000    1.4444    0.7796    0.9313   -0.8098   -0.7602    0.0496    0.7554    0.0453    0.0657
   19.5000    1.4565    0.7796    0.9313   -0.8098   -0.7589    0.0509    0.7554    0.0453    0.0657
   20.0000    1.4687    0.7796    0.9313   -0.8098   -0.7576    0.0522    0.7554    0.0453    0.0657
   20.5000    1.4809    0.7796    0.9313   -0.8098   -0.7563    0.0536    0.7554    0.0453    0.0657
   21.0000    1.4931    0.7796    0.9313   -0.8098   -0.7550    0.0549    0.7554    0.0453    0.0657
   21.5000    1.5053    0.7796    0.9313   -0.8098   -0.7537    0.0562    0.7554    0.0453    0.0657
   22.0000    1.5174    0.7796    0.9313   -0.8098   -0.7524    0.0575    0.7554    0.0453    0.0657
   22.5000    1.5296    0.7796    0.9313   -0.8098   -0.7511    0.0588    0.7554    0.0453    0.0657
   23.0000    1.5418    0.7796    0.9313   -0.8098   -0.7498    0.0601    0.7554    0.0453    0.0657
   23.5000    1.5540    0.7796    0.9313   -0.8098   -0.7485    0.0614    0.7554    0.0453    0.0657
   24.0000    1.5662    0.7796    0.9313   -0.8098   -0.7472    0.0627    0.7554    0.0453    0.0657
   24.5000    1.5783    0.7796    0.9313   -0.8098   -0.7458    0.0640    0.7554    0.0453    0.0657
   25.0000    1.5905    0.7796    0.9313   -0.8098   -0.7445    0.0653    0.7554    0.0453    0.0657
   25.5000    1.6027    0.7796    0.9313   -0.8098   -0.7432    0.0666    0.7554    0.0453    0.0657
   26.0000    1.6149    0.7796    0.9313   -0.8098   -0.7419    0.0679    0.7554    0.0453    0.0657
   26.5000    1.6271    0.7796    0.9313   -0.8098   -0.7406    0.0692    0.7554    0.0453    0.0657
   27.0000    1.6392    0.7796    0.9313   -0.8098   -0.7393    0.0705    0.7554    0.0453    0.0657
   27.5000    1.6514    0.7796    0.9313   -0.8098   -0.7380    0.0718    0.7554    0.0453    0.0657
   28.0000    1.6636    0.7796    0.9313   -0.8098   -0.7367    0.0731    0.7554    0.0453    0.0657
   28.5000    1.6758    0.7796    0.9313   -0.8098   -0.7354    0.0745    0.7554    0.0453    0.0657
   29.0000    1.6880    0.7796    0.9313   -0.8098   -0.7341    0.0758    0.7554    0.0453    0.0657
   29.5000    1.7001    0.7796    0.9313   -0.8098   -0.7328    0.0771    0.7554    0.0453    0.0657
   30.0000    1.7123    0.7796    0.9313   -0.8098   -0.7315    0.0784    0.7554    0.0453    0.0657
   30.5000    1.7245    0.7796    0.9313   -0.8098   -0.7302    0.0797    0.7554    0.0453    0.0657
   31.0000    1.7367    0.7796    0.9313   -0.8098   -0.7289    0.0810    0.7554    0.0453    0.0657
   31.5000    1.7489    0.7796    0.9313   -0.8098   -0.7276    0.0823    0.7554    0.0453    0.0657
   32.0000    1.7610    0.7796    0.9313   -0.8098   -0.7263    0.0836    0.7554    0.0453    0.0657
   32.5000    1.7732    0.7796    0.9313   -0.8098   -0.7249    0.0849    0.7554    0.0453    0.0657
   33.0000    1.7854    0.7796    0.9313   -0.8098   -0.7236    0.0862    0.7554    0.0453    0.0657
   33.5000    1.7976    0.7796    0.9313   -0.8098   -0.7223    0.0875    0.7554    0.0453    0.0657
   34.0000    1.8098    0.7796    0.9313   -0.8098   -0.7210    0.0888    0.7554    0.0453    0.0657
   34.5000    1.8219    0.7796    0.9313   -0.8098   -0.7197    0.0901    0.7554    0.0453    0.0657
   35.0000    1.8341    0.7796    0.9313   -0.8098   -0.7184    0.0914    0.7554    0.0453    0.0657
   35.5000    1.8463    0.7796    0.9313   -0.8098   -0.7171    0.0927    0.7554    0.0453    0.0657
   36.0000    1.8585    0.7796    0.9313   -0.8098   -0.7158    0.0940    0.7554    0.0453    0.0657
   36.5000    1.8707    0.7796    0.9313   -0.8098   -0.7145    0.0954    0.7554    0.0453    0.0657
   37.0000    1.8828    0.7796    0.9313   -0.8098   -0.7132    0.0967    0.7554    0.0453    0.0657
   37.5000    1.8950    0.7796    0.9313   -0.8098   -0.7119    0.0980    0.7554    0.0453    0.0657
   38.0000    1.9072    0.7796    0.9313   -0.8098   -0.7106    0.0993    0.7554    0.0453    0.0657
   38.5000    1.9194    0.7796    0.9313   -0.8098   -0.7093    0.1006    0.7554    0.0453    0.0657
   39.0000    1.9316    0.7796    0.9313   -0.8098   -0.7080    0.1019    0.7554    0.0453    0.0657
   39.5000    1.9437    0.7796    0.9313   -0.8098   -0.7067    0.1032    0.7554    0.0453    0.0657
   40.0000    1.9559    0.7796    0.9313   -0.8098   -0.7054    0.1045    0.7554    0.0453    0.0657
   40.5000    1.9681    0.7796    0.9313   -0.8098   -0.7040    0.1058    0.7554    0.0453    0.0657
   41.0000    1.9803    0.7796    0.9313   -0.8098   -0.7027    0.1071    0.7554    0.0453    0.0657
   41.5000    1.9925    0.7796    0.9313   -0.8098   -0.7014    0.1084    0.7554    0.0453    0.0657
   42.0000    2.0046    0.7796    0.9313   -0.8098   -0.7001    0.1097    0.7554    0.0453    0.0657
   42.5000    2.0168    0.7796    0.9313   -0.8098   -0.6988    0.1110    0.7554    0.0453    0.0657
   43.0000    2.0290    0.7796    0.9313   -0.8098   -0.6975    0.1123    0.7554    0.0453    0.0657
   43.5000    2.0412    0.7796    0.9313   -0.8098   -0.6962    0.1136    0.7554    0.0453    0.0657
   44.0000    2.0534    0.7796    0.9313   -0.8098   -0.6949    0.1149    0.7554    0.0453    0.0657
   44.5000    2.0655    0.7796    0.9313   -0.8098   -0.6936    0.1163    0.7554    0.0453    0.0657
   45.0000    2.0777    0.7796    0.9313   -0.8098   -0.6923    0.1176    0.7554    0.0453    0.0657
   45.5000    2.0899    0.7796    0.9313   -0.8098   -0.6910    0.1189    0.7554    0.0453    0.0657
   46.0000    2.1021    0.7796    0.9313   -0.8098   -0.6897    0.1202    0.7554    0.0453    0.0657
   46.5000    2.1142    0.7796    0.9313   -0.8098   -0.6884    0.1215    0.7554    0.0453    0.0657
   47.0000    2.1264    0.7796    0.9313   -0.8098   -0.6871    0.1228    0.7554    0.0453    0.0657
   47.5000    2.1386    0.7796    0.9313   -0.8098   -0.6858    0.1241    0.7554    0.0453    0.0657
   48.0000    2.1508    0.7796    0.9313   -0.8098   -0.6845    0.1254    0.7554    0.0453    0.0657
   48.5000    2.1630    0.7796    0.9313   -0.8098   -0.6831    0.1267    0.7554    0.0453    0.0657
   49.0000    2.1751    0.7796    0.9313   -0.8098   -0.6818    0.1280    0.7554    0.0453    0.0657
   49.5000    2.1873    0.7796    0.9313   -0.8098   -0.6805    0.1293    0.7554    0.0453    0.0657
   50.0000    2.1995    0.7796    0.9313   -0.8098   -0.6792    0.1306    0.7554    0.0453    0.0657
   50.5000    2.2117    0.7796    0.9313   -0.8098   -0.6779    0.1319    0.7554    0.0453    0.0657
   51.0000    2.2239    0.7796    0.9313   -0.8098   -0.6766    0.1332    0.7554    0.0453    0.0657
   51.5000    2.2360    0.7796    0.9313   -0.8098   -0.6753    0.1345    0.7554    0.0453    0.0657
   52.0000    2.2482    0.7796    0.9313   -0.8098   -0.6740    0.1358    0.7554    0.0453    0.0657
   52.5000    2.2604    0.7796    0.9313   -0.8098   -0.6727    0.1372    0.7554    0.0453    0.0657
   53.0000    2.2726    0.7796    0.9313   -0.8098   -0.6714    0.1385    0.7554    0.0453    0.0657
   53.5000    2.2848    0.7796    0.9313   -0.8098   -0.6701    0.1398    0.7554    0.0453    0.0657
   54.0000    2.2969    0.7796    0.9313   -0.8098   -0.6688    0.1411    0.7554    0.0453    0.0657
   54.5000    2.3091    0.7796    0.9313   -0.8098   -0.6675    0.1424    0.7554    0.0453    0.0657
   55.0000    2.3213    0.7796    0.9313   -0.8098   -0.6662    0.1437    0.7554    0.0453    0.0657
   55.5000    2.3335    0.7796    0.9313   -0.8098   -0.6649    0.1450    0.7554    0.0453    0.0657
   56.0000    2.3457    0.7796    0.9313   -0.8098   -0.6636    0.1463    0.7554    0.0453    0.0657
   56.5000    2.3578    0.7796    0.9313   -0.8098   -0.6622    0.1476    0.7554    0.0453    0.0657
   57.0000    2.3700    0.7796    0.9313   -0.8098   -0.6609    0.1489    0.7554    0.0453    0.0657
   57.5000    2.3822    0.7796    0.9313   -0.8098   -0.6596    0.1502    0.7554    0.0453    0.0657
   58.0000    2.3944    0.7796    0.9313   -0.8098   -0.6583    0.1515    0.7554    0.0453    0.0657
   58.5000    2.4066    0.7796    0.9313   -0.8098   -0.6570    0.1528    0.7554    0.0453    0.0657
   59.0000    2.4187    0.7796    0.9313   -0.8098   -0.6557    0.1541    0.7554    0.0453    0.0657
   59.5000    2.4309    0.7796    0.9313   -0.8098   -0.6544    0.1554    0.7554    0.0453    0.0657
   60.0000    2.4431    0.7796    0.9313   -0.8098   -0.6531    0.1567    0.7554    0.0453    0.0657
   60.5000    2.4553    0.7796    0.9313   -0.8098   -0.6518    0.1581    0.7554    0.0453    0.0657
   61.0000    2.4675    0.7796    0.9313   -0.8098   -0.6505    0.1594    0.7554    0.0453    0.0657
   61.5000    2.4796    0.7796    0.9313   -0.8098   -0.6492    0.1607    0.7554    0.0453    0.0657
   62.0000    2.4918    0.7796    0.9313   -0.8098   -0.6479    0.1620    0.7554    0.0453    0.0657
   62.5000    2.5040    0.7796    0.9313   -0.8098   -0.6466    0.1633    0.7554    0.0453    0.0657
   63.0000    2.5162    0.7796    0.9313   -0.8098   -0.6453    0.1646    0.7554    0.0453    0.0657
   63.5000    2.5284    0.7796    0.9313   -0.8098   -0.6440    0.1659    0.7554    0.0453    0.0657
   64.0000    2.5405    0.7796    0.9313   -0.8098   -0.6427    0.1672    0.7554    0.0453    0.0657
   64.5000    2.5527    0.7796    0.9313   -0.8098   -0.6413    0.1685    0.7554    0.0453    0.0657
   65.0000    2.5649    0.7796    0.9313   -0.8098   -0.6400    0.1698    0.7554    0.0453    0.0657
   65.5000    2.5771    0.7796    0.9313   -0.8098   -0.6387    0.1711    0.7554    0.0453    0.0657
   66.0000    2.5893    0.7796    0.9313   -0.8098   -0.6374    0.1724    0.7554    0.0453    0.0657
   66.5000    2.6014    0.7796    0.9313   -0.8098   -0.6361    0.1737    0.7554    0.0453    0.0657
   67.0000    2.6136    0.7796    0.9313   -0.8098   -0.6348    0.1750    0.7554    0.0453    0.0657
   67.5000    2.6258    0.7796    0.9313   -0.8098   -0.6335    0.1763    0.7554    0.0453    0.0657
   68.0000    2.6380    0.7796    0.9313   -0.8098   -0.6322    0.1776    0.7554    0.0453    0.0657
   68.5000    2.6502    0.7796    0.9313   -0.8098   -0.6309    0.1790    0.7554    0.0453    0.0657
   69.0000    2.6623    0.7796    0.9313   -0.8098   -0.6296    0.1803    0.7554    0.0453    0.0657
   69.5000    2.6745    0.7796    0.9313   -0.8098   -0.6283    0.1816    0.7554    0.0453    0.0657
   70.0000    2.6867    0.7796    0.9313   -0.8098   -0.6270    0.1829    0.7554    0.0453    0.0657
   70.5000    2.6989    0.7796    0.9313   -0.8098   -0.6257    0.1842    0.7554    0.0453    0.0657
   71.0000    2.7111    0.7796    0.9313   -0.8098   -0.6244    0.1855    0.7554    0.0453    0.0657
   71.5000    2.7232    0.7796    0.9313   -0.8098   -0.6231    0.1868    0.7554    0.0453    0.0657
   72.0000    2.7354    0.7796    0.9313   -0.8098   -0.6218    0.1881    0.7554    0.0453    0.0657
   72.5000    2.7476    0.7796    0.9313   -0.8098   -0.6204    0.1894    0.7554    0.0453    0.0657
   73.0000    2.7598    0.7796    0.9313   -0.8098   -0.6191    0.1907    0.7554    0.0453    0.0657
   73.5000    2.7720    0.7796    0.9313   -0.8098   -0.6178    0.1920    0.7554    0.0453    0.0657
   74.0000    2.7841    0.7796    0.9313   -0.8098   -0.6165    0.1933    0.7554    0.0453    0.0657
   74.5000    2.7963    0.7796    0.9313   -0.8098   -0.6152    0.1946    0.7554    0.0453    0.0657
   75.0000    2.8085    0.7796    0.9313   -0.8098   -0.6139    0.1959    0.7554    0.0453    0.0657
   75.5000    2.8207    0.7796    0.9313   -0.8098   -0.6126    0.1972    0.7554    0.0453    0.0657
   76.0000    2.8329    0.7796    0.9313   -0.8098   -0.6113    0.1985    0.7554    0.0453    0.0657
   76.5000    2.8450    0.7796    0.9313   -0.8098   -0.6100    0.1998    0.7554    0.0453    0.0657
   77.0000    2.8572    0.7796    0.9313   -0.8098   -0.6087    0.2012    0.7554    0.0453    0.0657
   77.5000    2.8694    0.7796    0.9313   -0.8098   -0.6074    0.2025    0.7554    0.0453    0.0657
   78.0000    2.8816    0.7796    0.9313   -0.8098   -0.6061    0.2038    0.7554    0.0453    0.0657
   78.5000    2.8938    0.7796    0.9313   -0.8098   -0.6048    0.2051    0.7554    0.0453    0.0657
   79.0000    2.9059    0.7796    0.9313   -0.8098   -0.6035    0.2064    0.7554    0.0453    0.0657
   79.5000    2.9181    0.7796    0.9313   -0.8098   -0.6022    0.2077    0.7554    0.0453    0.0657
   80.0000    2.9303    0.7796    0.9313   -0.8098   -0.6009    0.2090    0.7554    0.0453    0.0657
   80.5000    2.9425    0.7796    0.9313   -0.8098   -0.5995    0.2103    0.7554    0.0453    0.0657
   81.0000    2.9547    0.7796    0.9313   -0.8098   -0.5982    0.2116    0.7554    0.0453    0.0657
   81.5000    2.9668    0.7796    0.9313   -0.8098   -0.5969    0.2129    0.7554    0.0453    0.0657
   82.0000    2.9790    0.7796    0.9313   -0.8098   -0.5956    0.2142    0.7554    0.0453    0.0657
   82.5000    2.9912    0.7796    0.9313   -0.8098   -0.5943    0.2155    0.7554    0.0453    0.0657
   83.0000    3.0034    0.7796    0.9313   -0.8098   -0.5930    0.2168    0.7554    0.0453    0.0657
   83.5000    3.0155    0.7796    0.9313   -0.8098   -0.5917    0.2181    0.7554    0.0453    0.0657
   84.0000    3.0277    0.7796    0.9313   -0.8098   -0.5904    0.2194    0.7554    0.0453    0.0657
   84.5000    3.0399    0.7796    0.9313   -0.8098   -0.5891    0.2207    0.7554    0.0453    0.0657
   85.0000    3.0521    0.7796    0.9313   -0.8098   -0.5878    0.2221    0.7554    0.0453    0.0657
   85.5000    3.0643    0.7796    0.9313   -0.8098   -0.5865    0.2234    0.7554    0.0453    0.0657
   86.0000    3.0764    0.7796    0.9313   -0.8098   -0.5852    0.2247    0.7554    0.0453    0.0657
   86.5000    3.0886    0.7796    0.9313   -0.8098   -0.5839    0.2260    0.7554    0.0453    0.0657
   87.0000    3.1008    0.7796    0.9313   -0.8098   -0.5826    0.2273    0.7554    0.0453    0.0657
   87.5000    3.1130    0.7796    0.9313   -0.8098   -0.5813    0.2286    0.7554    0.0453    0.0657
   88.0000    3.1252    0.7796    0.9313   -0.8098   -0.5800    0.2299    0.7554    0.0453    0.0657
   88.5000    3.1373    0.7796    0.9313   -0.8098   -0.5786    0.2312    0.7554    0.0453    0.0657
   89.0000    3.1495    0.7796    0.9313   -0.8098   -0.5773    0.2325    0.7554    0.0453    0.0657
   89.5000    3.1617    0.7796    0.9313   -0.8098   -0.5760    0.2338    0.7554    0.0453    0.0657
   90.0000    3.1739    0.7796    0.9313   -0.8098   -0.5747    0.2351    0.7554    0.0453    0.0657
   90.5000    3.1861    0.7796    0.9313   -0.8098   -0.5734    0.2364    0.7554    0.0453    0.0657
   91.0000    3.1982    0.7796    0.9313   -0.8098   -0.5721    0.2377    0.7554    0.0453    0.0657
   91.5000    3.2104    0.7796    0.9313   -0.8098   -0.5708    0.2390    0.7554    0.0453    0.0657
   92.0000    3.2226    0.7796    0.9313   -0.8098   -0.5695    0.2403    0.7554    0.0453    0.0657
   92.5000    3.2348    0.7796    0.9313   -0.8098   -0.5682    0.2416    0.7554    0.0453    0.0657
   93.0000    3.2470    0.7796    0.9313   -0.8098   -0.5669    0.2430    0.7554    0.0453    0.0657
